Jahr,Nationalität,Geschlecht,Familienstatus,Alter,Anzahl
31.12.2014,Deutsche,männlich,ledig,0,339249
31.12.2014,Deutsche,männlich,verheiratet,0,-
31.12.2014,Deutsche,männlich,verwitwet,0,-
31.12.2014,Deutsche,männlich,geschieden,0,-
31.12.2014,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2014,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2014,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2014,Deutsche,weiblich,ledig,0,322145
31.12.2014,Deutsche,weiblich,verheiratet,0,-
31.12.2014,Deutsche,weiblich,verwitwet,0,-
31.12.2014,Deutsche,weiblich,geschieden,0,-
31.12.2014,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2014,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2014,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2014,Ausländer,männlich,ledig,0,28314
31.12.2014,Ausländer,männlich,verheiratet,0,-
31.12.2014,Ausländer,männlich,verwitwet,0,-
31.12.2014,Ausländer,männlich,geschieden,0,-
31.12.2014,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2014,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2014,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2014,Ausländer,weiblich,ledig,0,26711
31.12.2014,Ausländer,weiblich,verheiratet,0,-
31.12.2014,Ausländer,weiblich,verwitwet,0,-
31.12.2014,Ausländer,weiblich,geschieden,0,-
31.12.2014,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2014,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2014,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2015,Deutsche,männlich,ledig,0,342649
31.12.2015,Deutsche,männlich,verheiratet,0,-
31.12.2015,Deutsche,männlich,verwitwet,0,-
31.12.2015,Deutsche,männlich,geschieden,0,-
31.12.2015,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2015,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2015,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2015,Deutsche,weiblich,ledig,0,325568
31.12.2015,Deutsche,weiblich,verheiratet,0,-
31.12.2015,Deutsche,weiblich,verwitwet,0,-
31.12.2015,Deutsche,weiblich,geschieden,0,-
31.12.2015,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2015,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2015,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2015,Ausländer,männlich,ledig,0,39902
31.12.2015,Ausländer,männlich,verheiratet,0,-
31.12.2015,Ausländer,männlich,verwitwet,0,-
31.12.2015,Ausländer,männlich,geschieden,0,-
31.12.2015,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2015,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2015,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2015,Ausländer,weiblich,ledig,0,36602
31.12.2015,Ausländer,weiblich,verheiratet,0,-
31.12.2015,Ausländer,weiblich,verwitwet,0,-
31.12.2015,Ausländer,weiblich,geschieden,0,-
31.12.2015,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2015,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2015,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2016,Deutsche,männlich,ledig,0,353889
31.12.2016,Deutsche,männlich,verheiratet,0,-
31.12.2016,Deutsche,männlich,verwitwet,0,-
31.12.2016,Deutsche,männlich,geschieden,0,-
31.12.2016,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2016,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2016,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2016,Deutsche,weiblich,ledig,0,337666
31.12.2016,Deutsche,weiblich,verheiratet,0,-
31.12.2016,Deutsche,weiblich,verwitwet,0,-
31.12.2016,Deutsche,weiblich,geschieden,0,-
31.12.2016,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2016,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2016,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2016,Ausländer,männlich,ledig,0,49675
31.12.2016,Ausländer,männlich,verheiratet,0,-
31.12.2016,Ausländer,männlich,verwitwet,0,-
31.12.2016,Ausländer,männlich,geschieden,0,-
31.12.2016,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2016,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2016,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2016,Ausländer,weiblich,ledig,0,47069
31.12.2016,Ausländer,weiblich,verheiratet,0,-
31.12.2016,Ausländer,weiblich,verwitwet,0,-
31.12.2016,Ausländer,weiblich,geschieden,0,-
31.12.2016,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2016,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2016,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2017,Deutsche,männlich,ledig,0,351799
31.12.2017,Deutsche,männlich,verheiratet,0,-
31.12.2017,Deutsche,männlich,verwitwet,0,-
31.12.2017,Deutsche,männlich,geschieden,0,-
31.12.2017,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2017,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2017,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2017,Deutsche,weiblich,ledig,0,334532
31.12.2017,Deutsche,weiblich,verheiratet,0,-
31.12.2017,Deutsche,weiblich,verwitwet,0,-
31.12.2017,Deutsche,weiblich,geschieden,0,-
31.12.2017,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2017,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2017,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2017,Ausländer,männlich,ledig,0,50770
31.12.2017,Ausländer,männlich,verheiratet,0,-
31.12.2017,Ausländer,männlich,verwitwet,0,-
31.12.2017,Ausländer,männlich,geschieden,0,-
31.12.2017,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2017,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2017,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2017,Ausländer,weiblich,ledig,0,47973
31.12.2017,Ausländer,weiblich,verheiratet,0,-
31.12.2017,Ausländer,weiblich,verwitwet,0,-
31.12.2017,Ausländer,weiblich,geschieden,0,-
31.12.2017,Ausländer,weiblich,Lebenspartnerschaft,0,-
31.12.2017,Ausländer,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2017,Ausländer,weiblich,Lebenspartner verstorben,0,-
31.12.2018,Deutsche,männlich,ledig,0,348453
31.12.2018,Deutsche,männlich,verheiratet,0,-
31.12.2018,Deutsche,männlich,verwitwet,0,-
31.12.2018,Deutsche,männlich,geschieden,0,-
31.12.2018,Deutsche,männlich,Lebenspartnerschaft,0,-
31.12.2018,Deutsche,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2018,Deutsche,männlich,Lebenspartner verstorben,0,-
31.12.2018,Deutsche,weiblich,ledig,0,331501
31.12.2018,Deutsche,weiblich,verheiratet,0,-
31.12.2018,Deutsche,weiblich,verwitwet,0,-
31.12.2018,Deutsche,weiblich,geschieden,0,-
31.12.2018,Deutsche,weiblich,Lebenspartnerschaft,0,-
31.12.2018,Deutsche,weiblich,Lebenspartnerschaft aufgehoben,0,-
31.12.2018,Deutsche,weiblich,Lebenspartner verstorben,0,-
31.12.2018,Ausländer,männlich,ledig,0,53629
31.12.2018,Ausländer,männlich,verheiratet,0,-
31.12.2018,Ausländer,männlich,verwitwet,0,-
31.12.2018,Ausländer,männlich,geschieden,0,-
31.12.2018,Ausländer,männlich,Lebenspartnerschaft,0,-
31.12.2018,Ausländer,männlich,Lebenspartnerschaft aufgehoben,0,-
31.12.2018,Ausländer,männlich,Lebenspartner verstorben,0,-
31.12.2018,Ausländer,weiblich,ledig,0,50395
31.12.2018,Ausländer,weiblich,verheiratet,0,-
31.12.2018,Ausländer,weiblich,verwitwet,0,-
31.12.2018,Ausländer,weiblich,geschieden,0,-
31.12.2018,Ausländer,weiblich,Lebenspartnerschaft,0,-
